S.NO/Digits,Input State,APU,MAIN LG,2XA,22XN,BTC                           Lockout,BUS TIE PB                      10XU ,3XS,4XS,3XG,5XG,SMOKE Config Button    13XU,Gen1 Ready (10J),GEN1 PB ON,GEN2 Ready(10J),GEN2 PB ON
358,35.8,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0
359,35.9,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1
360,36,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
361,36.1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1
362,36.2,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0
363,36.3,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1
364,36.4,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0
365,36.5,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1
366,36.6,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0
367,36.7,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1
368,36.8,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
